Transaction ID,Date,Time,Product ID,Customer ID,Quantity,Price (Rupees)
TRANS-05001,04-10-2023,,PROD-087,5478,6,30
TRANS-05002,04-10-2023,,PROD-111,1725,4,720
TRANS-05003,04-10-2023,,PROD-046,7817,1,10
TRANS-05004,04-10-2023,,PROD-016,5811,4,100
TRANS-05005,04-10-2023,,PROD-040,7021,1,35
TRANS-05006,04-10-2023,,PROD-100,13780,2,80
TRANS-05007,04-10-2023,,PROD-078,377,3,210
TRANS-05008,04-10-2023,,PROD-098,5459,4,40
TRANS-05009,04-10-2023,,PROD-041,8965,2,10
TRANS-05010,04-10-2023,,PROD-072,3936,1,15
TRANS-05011,04-10-2023,,PROD-100,4961,4,160
TRANS-05012,04-10-2023,,PROD-130,11377,2,60
TRANS-05013,04-10-2023,,PROD-063,4233,5,200
TRANS-05014,04-10-2023,,PROD-111,4753,4,720
TRANS-05015,04-10-2023,,PROD-084,6179,5,50
TRANS-05016,04-10-2023,,PROD-124,5143,6,240
TRANS-05017,04-10-2023,,PROD-015,12158,5,400
TRANS-05018,04-10-2023,,PROD-026,7101,6,60
TRANS-05019,04-10-2023,,PROD-047,5156,1,25
TRANS-05020,04-10-2023,,PROD-063,13448,3,120
TRANS-05021,04-10-2023,,PROD-057,10943,1,25
TRANS-05022,04-10-2023,,PROD-030,873,4,600
TRANS-05023,04-10-2023,,PROD-124,1873,5,200
TRANS-05024,04-10-2023,,PROD-128,13727,3,180
TRANS-05025,04-10-2023,,PROD-072,8381,1,15
TRANS-05026,05-10-2023,,PROD-046,10264,5,50
TRANS-05027,05-10-2023,,PROD-084,8587,2,20
TRANS-05028,05-10-2023,,PROD-005,13912,6,60
TRANS-05029,05-10-2023,,PROD-044,2536,2,80
TRANS-05030,05-10-2023,,PROD-026,6992,4,40
TRANS-05031,05-10-2023,,PROD-029,5850,3,210
TRANS-05032,05-10-2023,,PROD-010,6569,5,500
TRANS-05033,05-10-2023,,PROD-137,7077,3,240
TRANS-05034,05-10-2023,,PROD-039,3377,2,20
TRANS-05035,05-10-2023,,PROD-152,2656,2,120
TRANS-05036,05-10-2023,,PROD-136,10630,6,150
TRANS-05037,05-10-2023,,PROD-008,8510,6,360
TRANS-05038,05-10-2023,,PROD-075,11342,3,45
TRANS-05039,05-10-2023,,PROD-004,5321,5,200
TRANS-05040,05-10-2023,,PROD-018,4328,4,240
TRANS-05041,05-10-2023,,PROD-110,5313,4,80
TRANS-05042,05-10-2023,,PROD-034,9660,6,90
TRANS-05043,05-10-2023,,PROD-093,3420,2,20
TRANS-05044,05-10-2023,,PROD-057,3793,3,75
TRANS-05045,05-10-2023,,PROD-026,2450,5,50
TRANS-05046,05-10-2023,,PROD-130,5996,4,120
TRANS-05047,05-10-2023,,PROD-020,6315,4,40
TRANS-05048,06-10-2023,,PROD-013,5335,4,280
TRANS-05049,06-10-2023,,PROD-156,10430,6,90
TRANS-05050,06-10-2023,,PROD-086,1641,5,50
TRANS-05051,06-10-2023,,PROD-148,3739,3,105
TRANS-05052,06-10-2023,,PROD-062,1055,1,25
TRANS-05053,06-10-2023,,PROD-092,13542,2,50
TRANS-05054,06-10-2023,,PROD-056,10199,1,70
