Product ID,Product,Category,Brand,Cost Price,Selling Price
PROD-001,Milk,Dairy,Amul,37.5,45.75
PROD-002,Bread,Bakery,Britannia,22.5,25.2
PROD-003,Rice,Staples,Kohinoor,60,68.4
PROD-004,Sugar,Staples,Tata,30,34.2
PROD-005,Apple,Fruits,Washington,7.5,9.6
PROD-006,Tomato,Vegetables,Local Farm,3.75,4.6125
PROD-007,Chicken,Meat,Tyson,112.5,139.5
PROD-008,Eggs,Dairy,Brown Gold,45,50.4
PROD-009,Toothpaste,Personal Care,Colgate,15,16.8
PROD-010,Shampoo,Personal Care,Pantene,75,93
PROD-011,Soap,Personal Care,Dove,22.5,27.675
PROD-012,Potato Chips,Snacks,Lay's,15,18.15
PROD-013,Orange Juice,Beverages,Tropicana,52.5,59.325
PROD-014,Yogurt,Dairy,Danone,30,37.5
PROD-015,Cheese,Dairy,Kraft,60,74.4
PROD-016,Chocolate Bar,Snacks,Hershey's,18.75,22.125
PROD-017,Toothbrush,Personal Care,Oral-B,11.25,12.375
PROD-018,Cereal,Breakfast,Kellogg's,45,54
PROD-019,Cooking Oil,Cooking,Fortune,90,110.7
PROD-020,Dish Soap,Household,Vim,7.5,8.775
PROD-021,Ice Cream,Dessert,Baskin-Robbins,75,86.25
PROD-022,Biscuits,Snacks,Parle,11.25,14.5125
PROD-023,Bananas,Fruits,Chiquita,15,16.95
PROD-024,Pasta,Staples,Barilla,30,36.6
PROD-025,Hand Sanitizer,Personal Care,Dettol,37.5,48
PROD-026,Tissue Paper,Household,Kleenex,7.5,9.075
PROD-027,Yoghurt Drink,Beverages,Yakult,22.5,27.225
PROD-028,Orange,Fruits,Sunkist,11.25,14.2875
PROD-029,Peanut Butter,Spreads,Skippy,52.5,58.8
PROD-030,Coffee,Beverages,Starbucks,112.5,140.625
PROD-031,Tea Bags,Beverages,Lipton,30,33
PROD-032,Potato,Vegetables,Russet,3.75,4.2375
PROD-033,Onion,Vegetables,Sweet,7.5,9.75
PROD-034,Carrots,Vegetables,Baby,11.25,14.175
PROD-035,Lemon,Fruits,Fresh,3.75,4.275
PROD-036,Milk Chocolate,Snacks,Cadbury,15,16.65
PROD-037,Laundry Detergent,Household,Tide,22.5,28.8
PROD-038,Ketchup,Condiments,Heinz,18.75,22.125
PROD-039,Cucumber,Vegetables,English,7.5,9.75
PROD-040,Mayonnaise,Condiments,Hellmann's,26.25,34.125
PROD-041,Salt,Condiments,Tata,3.75,4.2
PROD-042,Pepper,Condiments,McCormick,7.5,9.375
PROD-043,Watermelon,Fruits,Whole,22.5,27.675
PROD-044,Yogurt Parfait,Dessert,Yoplait,30,33.6
PROD-045,Baby Food,Baby Care,Gerber,37.5,42.375
PROD-046,Green Beans,Vegetables,Fresh,7.5,8.925
PROD-047,Honey,Spreads,Dabur,18.75,20.8125
PROD-048,Red Wine,Beverages,Yellow,150,168
PROD-049,White Bread,Bakery,Wonder,18.75,21.375
PROD-050,Facial Tissues,Household,Kleenex,11.25,12.375
PROD-051,Chips,Snacks,Pringles,15,19.2
PROD-052,Canned Soup,Canned Goods,Campbell's,22.5,26.325
PROD-053,Orange Soda,Beverages,Fanta,11.25,12.6
PROD-054,Butter,Dairy,Land O'Lakes,37.5,48
PROD-055,Bagels,Bakery,Thomas',15,17.4
PROD-056,Quinoa,Staples,Ancient Harvest,52.5,61.425
PROD-057,Honeydew Melon,Fruits,Del Monte,18.75,22.125
PROD-058,Avocado,Fruits,Hass,22.5,26.1
PROD-059,Ground Beef,Meat,Angus Beef,90,116.1
PROD-060,Salmon Fillet,Seafood,Wild-Caught,135,167.4
PROD-061,Greek Yogurt,Dairy,FAGE,30,36.6
PROD-062,Facial Cleanser,Personal Care,Neutrogena,18.75,22.3125
PROD-063,Conditioner,Personal Care,Herbal Essences,30,34.5
PROD-064,Hand Soap,Personal Care,Softsoap,7.5,9.375
PROD-065,Popcorn,Snacks,Orville Redenbacher's,15,19.05
